,City Name,Date,Long,Lat,Temp,Humid,Wind,clouds,Country
0,Vaini,1612023597,-175.2,-21.2,73.4,94,4.61,90,TO
1,Pangnirtung,1612023197,-65.7125,66.1451,-9.4,77,2.26,1,CA
2,Yellowknife,1612023218,-114.3525,62.456,-18.99,76,5.75,20,CA
3,Albany,1612023161,-73.9662,42.6001,14.0,53,3.0,0,US
4,Ankang,1612023598,109.0172,32.68,49.06,48,0.85,99,CN
5,Busselton,1612023598,115.3333,-33.65,70.0,59,1.99,0,AU
6,Bambous Virieux,1612023598,57.7575,-20.3428,80.01,83,6.91,75,MU
7,Seto,1612023598,137.1,35.2333,39.0,80,3.94,80,JP
8,Atuona,1612023559,-139.0333,-9.8,78.49,76,16.58,41,PF
9,Cabedelo,1612023599,-34.8339,-6.9811,89.6,55,14.97,40,BR
10,Ahipara,1612023080,173.1667,-35.1667,55.42,78,4.81,0,NZ
11,Codrington,1612023599,141.9667,-38.2667,54.68,83,4.52,9,AU
12,Naifaru,1612023599,73.3657,5.4444,81.46,68,9.6,55,MV
13,Puerto Ayora,1612023342,-90.3518,-0.7393,81.0,69,13.8,0,EC
14,Bredasdorp,1612023600,20.0403,-34.5322,73.0,74,8.01,0,ZA
15,Hobart,1612023185,147.3294,-42.8794,54.0,87,4.61,0,AU
16,Balangiga,1612023600,125.3875,11.1097,77.65,81,15.64,99,PH
17,Nanortalik,1612023190,-45.2371,60.1432,36.07,78,16.11,100,GL
18,Hermanus,1612023348,19.2345,-34.4187,73.99,73,10.0,0,ZA
19,Sumbe,1612023601,13.8437,-11.2061,81.48,67,10.76,68,AO
20,Olafsvik,1612023244,-23.7142,64.8945,24.03,92,20.71,45,IS
21,Port Alfred,1612023364,26.891,-33.5906,73.0,81,1.99,0,ZA
22,Capão da Canoa,1612023601,-50.0097,-29.7456,81.79,77,5.84,100,BR
23,Makarov,1612023602,142.8,48.6333,3.34,90,2.91,100,RU
24,Sisimiut,1612023603,-53.6735,66.9395,8.46,92,8.59,75,GL
25,Esterhazy,1612023603,-102.0843,50.65,19.4,86,1.14,99,CA
26,Panzhihua,1612023604,101.7128,26.5851,53.2,51,2.75,0,CN
27,Šalčininkai,1612023605,25.3833,54.3,27.0,93,6.91,90,LT
28,Ushuaia,1612023263,-68.3,-54.8,51.8,62,23.02,40,AR
29,Saint Anthony,1612023606,-93.218,45.0205,30.2,69,10.36,1,US
30,Port Lincoln,1612023606,135.8667,-34.7333,60.03,80,13.94,11,AU
31,Yārāda,1612023606,83.2667,17.65,73.4,94,2.3,40,IN
32,Ilulissat,1612023227,-51.1,69.2167,1.4,60,5.75,40,GL
33,Tautira,1612023414,-149.15,-17.7333,77.0,73,3.44,75,PF
34,East London,1612022953,27.9116,-33.0153,77.0,73,10.36,40,ZA
35,Carnarvon,1612023207,113.6333,-24.8667,84.2,58,6.91,33,AU
36,Rawson,1612023607,-65.1023,-43.3002,66.15,40,12.19,0,AR
37,Huarmey,1612023461,-78.1522,-10.0681,76.12,61,10.69,90,PE
38,Mataura,1612023558,168.8643,-46.1927,48.0,80,8.01,42,NZ
39,Saint-Joseph,1612023276,55.6167,-21.3667,82.4,74,11.5,0,RE
40,Flinders,1612023003,150.8552,-34.5833,73.0,88,5.99,48,AU
41,Bengkulu,1612023380,102.2655,-3.8004,76.14,88,7.27,100,ID
42,Rikitea,1612023347,-134.9692,-23.1203,78.91,74,10.94,81,PF
43,Tuktoyaktuk,1612023161,-133.0374,69.4541,-36.4,67,3.44,40,CA
44,Rocha,1612023422,-54.3333,-34.4833,88.3,31,14.29,74,UY
45,Chokurdakh,1612023358,147.9167,70.6333,-29.16,85,6.49,4,RU
46,San Matías,1612023609,-58.4,-16.3667,88.75,53,9.64,59,BO
47,Bragança,1612023609,-46.7656,-1.0536,80.94,89,6.6,80,BR
48,Erzin,1612023393,36.2,36.9559,48.99,90,10.0,100,TR
49,Ribeira Grande,1612023173,-28.7,38.5167,64.4,94,18.41,75,PT
50,Lorengau,1612023610,147.2712,-2.0226,81.63,81,11.77,100,PG
51,Ponta do Sol,1612023206,-17.1,32.6667,64.0,74,3.0,42,PT
52,Hamilton,1612023150,-84.5333,39.1834,32.0,51,8.05,1,US
53,Hofn,1612023231,-15.2082,64.2539,24.55,88,22.06,94,IS
54,Arês,1612023611,-35.1603,-6.1944,87.8,62,17.27,40,BR
55,George Town,1612023031,100.3354,5.4112,80.6,83,5.75,20,MY
56,Manokwari,1612023611,134.0833,-0.8667,78.73,79,7.43,100,ID
57,Nikolskoye,1612023350,30.7861,59.7035,30.2,93,4.47,75,RU
58,Lucea,1612023612,-78.1736,18.451,82.99,65,27.63,40,JM
59,Bahía Blanca,1612023609,-62.2724,-38.7196,75.16,23,16.89,100,AR
60,Bluff,1612023196,168.3333,-46.6,48.0,80,8.01,53,NZ
61,Dikson,1612023162,80.5464,73.5069,-35.41,83,10.11,37,RU
62,Arnold,1612023613,-1.1333,53.0,39.0,79,17.0,100,GB
63,Darhan,1612023613,105.9228,49.4867,4.24,89,1.01,91,MN
64,Upington,1612023613,21.2561,-28.4478,93.2,10,6.91,20,ZA
65,Broken Hill,1612023379,141.4333,-31.95,73.4,38,14.97,76,AU
66,Kununurra,1612023613,128.7333,-15.7667,78.8,100,5.75,100,AU
67,Ürümqi,1612023614,87.6005,43.801,3.2,85,1.7,15,CN
68,Port Elizabeth,1612023344,25.5701,-33.918,71.6,73,12.66,0,ZA
69,Upernavik,1612023351,-56.1549,72.7868,-9.74,86,8.03,2,GL
